NR_114600.3	Helicobacter macacae strain MIT 99-5501 16S ribosomal RNA, partial sequence
NR_041748.2	Helicobacter typhlonius strain MIT 97-6810 16S ribosomal RNA, partial sequence
NR_115314.2	Helicobacter mastomyrinus strain MIT 97-5574 16S ribosomal RNA, partial sequence
NR_118766.2	Helicobacter fennelliae strain Fennel 231 16S ribosomal RNA, partial sequence
NR_114604.2	Helicobacter fennelliae strain NCTC 11612 16S ribosomal RNA, partial sequence
NG_042884.1	Helicobacter macacae strain MIT 99-5501 16S ribosomal RNA gene, partial sequence
NG_041959.1	[Caedibacter] caryophilus strain 221 16S ribosomal RNA gene, partial sequence
NR_133024.1	Bacillus timonensis strain 10403023 16S ribosomal RNA, partial sequence
NR_024866.2	Methylarcula marina strain h1 16S ribosomal RNA, complete sequence
NR_153752.1	Pectobacterium parmentieri strain RNS 08-42-1A 16S ribosomal RNA, complete sequence
NR_153750.1	Cronbergia siamensis strain SAG 11.82 16S ribosomal RNA, partial sequence
NR_153749.1	Clostridium roseum strain DSM 7320 16S ribosomal RNA, partial sequence
NR_153748.1	Primorskyibacter aestuariivivens strain OITF-36 16S ribosomal RNA, partial sequence
NR_153747.1	Marinomonas blandensis strain MED121 16S ribosomal RNA, complete sequence
NR_153746.1	Sphingomonas lutea strain JS5 16S ribosomal RNA, partial sequence
NR_153745.1	Arsenicitalea aurantiaca strain 42-50 16S ribosomal RNA, partial sequence
NR_153744.1	Luteimonas padinae strain CDR SL 15 16S ribosomal RNA, partial sequence
NR_153743.1	Altererythrobacter sediminis strain CAU1172 16S ribosomal RNA, partial sequence
NR_153742.1	Gilvimarinus japonicus strain 12-2 16S ribosomal RNA, partial sequence
NR_153741.1	Acinetobacter celticus strain ANC 3831 16S ribosomal RNA, partial sequence
NR_153740.1	Idiomarina tyrosinivorans strain CC-PW-9 16S ribosomal RNA, partial sequence
NR_153739.1	Microvirgula curvata strain L6 16S ribosomal RNA, partial sequence
NR_153738.1	Sphingomonas piscinae strain LYH-20 16S ribosomal RNA, partial sequence
NR_153737.1	Ensifer alkalisoli strain YIC4027 16S ribosomal RNA, partial sequence
NR_153736.1	Piscinibacterium candidicorallinum strain LYH-15 16S ribosomal RNA, partial sequence
NR_153735.1	Chromobacterium alkanivorans strain IITR-71 16S ribosomal RNA, partial sequence
NR_153734.1	Coetzeea brasiliensis strain Braz8 16S ribosomal RNA, partial sequence
NR_153733.1	Labrenzia salina strain DSM 29163 16S ribosomal RNA, partial sequence
NR_153732.1	Pseudohongiella nitratireducens strain SCS-49 16S ribosomal RNA, complete sequence
NR_153731.1	Uliginosibacterium paludis strain KBP-13 16S ribosomal RNA, partial sequence
NR_153730.1	Paracoccus contaminans strain WPAn02 16S ribosomal RNA, partial sequence
NR_153729.1	Psychrobacter pocilloporae strain S6-60 16S ribosomal RNA, partial sequence
NR_153728.1	Novosphingobium bradum strain STM-24 16S ribosomal RNA, partial sequence
NR_153727.1	Thalassotalea euphylliae strain Eup-16 16S ribosomal RNA, partial sequence
NR_153726.1	Pseudoxanthomonas helianthi strain roo10 16S ribosomal RNA, partial sequence
NR_153725.1	Iodidimonas muriae strain C-3 16S ribosomal RNA, partial sequence
NR_153724.1	Bacterioplanoides pacificum strain sw100 16S ribosomal RNA, partial sequence
NR_153723.1	Nitratireductor lacus strain GSS14 16S ribosomal RNA, partial sequence
NR_153722.1	Shewanella inventionis strain KX27 16S ribosomal RNA, partial sequence
NR_153721.1	Thalassospira indica strain PB8B 16S ribosomal RNA, partial sequence
NR_153720.1	Sphingoaurantiacus capsulatus strain YLT33 16S ribosomal RNA, partial sequence
NR_153719.1	Acidobacterium ailaaui strain PMMR2 16S ribosomal RNA, partial sequence
NR_153718.1	Deinococcus budaensis strain FeSTC15-38 16S ribosomal RNA, partial sequence
NR_153717.1	Deinococcus saudiensis strain YIM F302 16S ribosomal RNA, partial sequence
NR_153716.1	Deinococcus persicinus strain KSY3-6 16S ribosomal RNA, partial sequence
NR_153715.1	Marinitoga arctica strain 2PyrY55-1 16S ribosomal RNA, partial sequence
NR_153714.1	Fervidobacterium thailandense strain FC2004 16S ribosomal RNA, partial sequence
NR_153713.1	Lactobacillus ixorae strain Ru20-1 16S ribosomal RNA, partial sequence
NR_153712.1	Paludifilum halophilum strain SMBg3 16S ribosomal RNA, partial sequence
NR_153711.1	Lentibacillus populi strain WD4L-1 16S ribosomal RNA, partial sequence
NR_153710.1	Peptococcus simiae strain M108 16S ribosomal RNA, partial sequence
NR_153709.1	Jeotgalibacillus alkaliphilus strain JC303 16S ribosomal RNA, partial sequence
NR_153708.1	Saccharibacillus endophyticus strain JM-1350 16S ribosomal RNA, partial sequence
NR_153707.1	Paenibacillus oryzae strain 1DrF-4 16S ribosomal RNA, partial sequence
NR_153706.1	Paenibacillus sinopodophylli strain TEGR-3 16S ribosomal RNA, partial sequence
NR_153705.1	Roseivirga seohaensis subsp. aquiponti strain D-25 16S ribosomal RNA, partial sequence
NR_153704.1	Spirosoma soli strain MIMBbqt12 16S ribosomal RNA, partial sequence
NR_153703.1	Polaribacter haliotis strain RA4-7 16S ribosomal RNA, partial sequence
NR_153702.1	Algoriphagus litorisediminis strain OITF-19 16S ribosomal RNA, partial sequence
NR_153701.1	Carboxylicivirga flava strain Q15 16S ribosomal RNA, partial sequence
NR_153700.1	Sphingobacterium cibi strain CC-YY411 16S ribosomal RNA, partial sequence
NR_153699.1	Lunatimonas salinarum strain JC344 16S ribosomal RNA, partial sequence
NR_153698.1	Niastella hibisci strain THG-YS3.2.1 16S ribosomal RNA, partial sequence
NR_153697.1	Emticicia fontis strain IMCC1731 16S ribosomal RNA, partial sequence
NR_153696.1	Rufibacter quisquiliarum strain CAI-18b 16S ribosomal RNA, partial sequence
NR_153695.1	Mucilaginibacter antarcticus strain S14-88 16S ribosomal RNA, partial sequence
NR_153694.1	Psychroflexus saliphilus strain WDS4A13 16S ribosomal RNA, partial sequence
NR_153693.1	Pedobacter vanadiisoli strain XNV015 16S ribosomal RNA, partial sequence
NR_153692.1	Sphingobacterium chuzhouense strain DH-5 16S ribosomal RNA, partial sequence
