NR_114600.3	Helicobacter macacae strain MIT 99-5501 16S ribosomal RNA, partial sequence	398626	Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter macacae
NR_041748.2	Helicobacter typhlonius strain MIT 97-6810 16S ribosomal RNA, partial sequence	76936	Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter typhlonius
NR_115314.2	Helicobacter mastomyrinus strain MIT 97-5574 16S ribosomal RNA, partial sequence	287948	Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter mastomyrinus
NR_118766.2	Helicobacter fennelliae strain Fennel 231 16S ribosomal RNA, partial sequence	215	Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter fennelliae
NR_114604.2	Helicobacter fennelliae strain NCTC 11612 16S ribosomal RNA, partial sequence	215	Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter fennelliae
NG_042884.1	Helicobacter macacae strain MIT 99-5501 16S ribosomal RNA gene, partial sequence	398626	Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter macacae
NG_041959.1	[Caedibacter] caryophilus strain 221 16S ribosomal RNA gene, partial sequence	1629334	Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Caedimonadaceae,Caedimonas,Caedimonas varicaedens
NR_133024.1	Bacillus timonensis strain 10403023 16S ribosomal RNA, partial sequence	1033734	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus timonensis
NR_024866.2	Methylarcula marina strain h1 16S ribosomal RNA, complete sequence	72022	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Methylarcula,Methylarcula marina
NR_153752.1	Pectobacterium parmentieri strain RNS 08-42-1A 16S ribosomal RNA, complete sequence	1905730	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium parmentieri
NR_153750.1	Cronbergia siamensis strain SAG 11.82 16S ribosomal RNA, partial sequence	213767	Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Cronbergia,Cronbergia siamensis
NR_153749.1	Clostridium roseum strain DSM 7320 16S ribosomal RNA, partial sequence	84029	Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium roseum
NR_153748.1	Primorskyibacter aestuariivivens strain OITF-36 16S ribosomal RNA, partial sequence	1888912	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Primorskyibacter,Primorskyibacter aestuariivivens
NR_153747.1	Marinomonas blandensis strain MED121 16S ribosomal RNA, complete sequence	374837	Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas blandensis
NR_153746.1	Sphingomonas lutea strain JS5 16S ribosomal RNA, partial sequence	1045317	Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas lutea
NR_153745.1	Arsenicitalea aurantiaca strain 42-50 16S ribosomal RNA, partial sequence	1783274	Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Arsenicitalea,Arsenicitalea aurantiaca
NR_153744.1	Luteimonas padinae strain CDR SL 15 16S ribosomal RNA, partial sequence	1714359	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Luteimonas padinae
NR_153743.1	Altererythrobacter sediminis strain CAU1172 16S ribosomal RNA, partial sequence	1689985	Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,Altererythrobacter sediminis
NR_153742.1	Gilvimarinus japonicus strain 12-2 16S ribosomal RNA, partial sequence	1796469	Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Gilvimarinus,Gilvimarinus japonicus
